C00,0,C000,"Malignant neoplasm of external upper lip","Malignant neoplasm of external upper lip","Malignant neoplasm of lip"
C00,1,C001,"Malignant neoplasm of external lower lip","Malignant neoplasm of external lower lip","Malignant neoplasm of lip"
C00,2,C002,"Malignant neoplasm of external lip, unspecified","Malignant neoplasm of external lip, unspecified","Malignant neoplasm of lip"
C00,3,C003,"Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of lip"
C00,4,C004,"Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lip"
C00,5,C005,"Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip"
C00,6,C006,"Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of lip"
C00,8,C008,"Malignant neoplasm of overlapping sites of lip","Malignant neoplasm of overlapping sites of lip","Malignant neoplasm of lip"
C00,9,C009,"Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip"
C01,,C01,"Malignant neoplasm of base of tongue","Malignant neoplasm of base of tongue","Malignant neoplasm of base of tongue"
C02,0,C020,"Malignant neoplasm of dorsal surface of tongue","Malignant neoplasm of dorsal surface of tongue","Malignant neoplasm of other and unspecified parts of tongue"
C02,1,C021,"Malignant neoplasm of border of tongue","Malignant neoplasm of border of tongue","Malignant neoplasm of other and unspecified parts of tongue"
C02,2,C022,"Malignant neoplasm of ventral surface of tongue","Malignant neoplasm of ventral surface of tongue","Malignant neoplasm of other and unspecified parts of tongue"
C02,3,C023,"Malig neoplasm of anterior two-thirds of tongue, part unsp","Malignant neoplasm of anterior two-thirds of tongue, part unspecified","Malignant neoplasm of other and unspecified parts of tongue"
C02,4,C024,"Malignant neoplasm of lingual tonsil","Malignant neoplasm of lingual tonsil","Malignant neoplasm of other and unspecified parts of tongue"
C02,8,C028,"Malignant neoplasm of overlapping sites of tongue","Malignant neoplasm of overlapping sites of tongue","Malignant neoplasm of other and unspecified parts of tongue"
C02,9,C029,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified","Malignant neoplasm of other and unspecified parts of tongue"
C03,0,C030,"Malignant neoplasm of upper gum","Malignant neoplasm of upper gum","Malignant neoplasm of gum"
C03,1,C031,"Malignant neoplasm of lower gum","Malignant neoplasm of lower gum","Malignant neoplasm of gum"
C03,9,C039,"Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum"
C04,0,C040,"Malignant neoplasm of anterior floor of mouth","Malignant neoplasm of anterior floor of mouth","Malignant neoplasm of floor of mouth"
C04,1,C041,"Malignant neoplasm of lateral floor of mouth","Malignant neoplasm of lateral floor of mouth","Malignant neoplasm of floor of mouth"
C04,8,C048,"Malignant neoplasm of overlapping sites of floor of mouth","Malignant neoplasm of overlapping sites of floor of mouth","Malignant neoplasm of floor of mouth"
C04,9,C049,"Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth"
C05,0,C050,"Malignant neoplasm of hard palate","Malignant neoplasm of hard palate","Malignant neoplasm of palate"
C05,1,C051,"Malignant neoplasm of soft palate","Malignant neoplasm of soft palate","Malignant neoplasm of palate"
C05,2,C052,"Malignant neoplasm of uvula","Malignant neoplasm of uvula","Malignant neoplasm of palate"
C05,8,C058,"Malignant neoplasm of overlapping sites of palate","Malignant neoplasm of overlapping sites of palate","Malignant neoplasm of palate"
C05,9,C059,"Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate"
C06,0,C060,"Malignant neoplasm of cheek mucosa","Malignant neoplasm of cheek mucosa","Malignant neoplasm of other and unspecified parts of mouth"
C06,1,C061,"Malignant neoplasm of vestibule of mouth","Malignant neoplasm of vestibule of mouth","Malignant neoplasm of other and unspecified parts of mouth"
C06,2,C062,"Malignant neoplasm of retromolar area","Malignant neoplasm of retromolar area","Malignant neoplasm of other and unspecified parts of mouth"
C068,0,C0680,"Malignant neoplasm of ovrlp sites of unsp parts of mouth","Malignant neoplasm of overlapping sites of unspecified parts of mouth","Malignant neoplasm of overlapping sites of other and unspecified parts of mouth"
C068,9,C0689,"Malignant neoplasm of overlapping sites of oth prt mouth","Malignant neoplasm of overlapping sites of other parts of mouth","Malignant neoplasm of overlapping sites of other and unspecified parts of mouth"
C069,,C069,"Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified"
C07,,C07,"Malignant neoplasm of parotid gland","Malignant neoplasm of parotid gland","Malignant neoplasm of parotid gland"
C08,0,C080,"Malignant neoplasm of submandibular gland","Malignant neoplasm of submandibular gland","Malignant neoplasm of other and unspecified major salivary glands"
C08,1,C081,"Malignant neoplasm of sublingual gland","Malignant neoplasm of sublingual gland","Malignant neoplasm of other and unspecified major salivary glands"
C08,9,C089,"Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm of other and unspecified major salivary glands"
